NodeIndex,x,y,velocity
0,0.0,0.0,4.5
1,0.035087719,0.0,0.0
2,0.070175439,0.0,0.0
3,0.0,0.007386141,9.0
4,0.105263158,0.0,0.0
5,0.140350877,0.0,0.0
6,0.175438596,0.0,0.0
7,0.035087719,0.007471007,8.940956161
8,0.070175439,0.007575544,8.599147053
9,0.0,0.01624951,9.0
10,0.0,1.0,4.5
11,0.035087719,1.0,0.0
12,0.210526316,0.0,0.0
13,0.105263158,0.007665717,8.344394452
14,0.140350877,0.007733466,8.216408691
15,0.175438596,0.007801216,8.185023398
16,0.03507048,0.016436216,9.164354847
17,0.070153879,0.016666197,9.46962177
18,0.021479211,0.027651593,9.04043785
19,0.0,0.034645759,9.0
20,0.070175439,1.0,0.0
21,0.0,0.99340242,9.0
22,0.035087719,0.99340242,8.883575369
23,0.245614035,0.0,0.0
24,0.210526316,0.007813109,8.164224323
25,0.280701754,0.0,0.0
26,0.315789474,0.0,0.0
27,0.105243619,0.016864577,9.477325285
28,0.140334832,0.017013626,9.423049966
29,0.175428805,0.017162675,9.390354388
30,0.050178329,0.030385715,9.217418856
31,0.076132395,0.029654663,9.350874367
32,0.029721875,0.045681862,9.040160133
33,0.0,0.061955203,9.0
34,0.105263158,1.0,0.0
35,0.140350877,1.0,0.0
36,0.070175439,0.993182894,8.619226148
37,0.0,0.985485323,9.0
38,0.035063921,0.985485323,9.180577858
39,0.350877193,0.0,0.0
40,0.245614035,0.007801766,8.148958972
41,0.210523779,0.017188839,9.370551683
42,0.280701754,0.00780185,8.14833359
43,0.315789474,0.007821189,8.159377726
44,0.179822373,0.029130776,9.331749702
45,0.110281724,0.028457957,9.370548073
46,0.143701646,0.028948687,9.345185788
47,0.108281134,0.04126499,9.278036045
48,0.069612146,0.049792577,9.154945121
49,0.037196569,0.073494302,9.033069566
50,0.0,0.089264647,9.0
51,0.105263158,0.992920511,8.445731524
52,0.175438596,1.0,0.0
53,0.140350877,0.992659131,8.396798222
54,0.07012749,0.985002367,9.446950074
55,0.029434213,0.977712325,9.06054363
56,0.0,0.971133888,9.0
57,0.065430173,0.974051128,9.271968569
58,0.210526316,1.0,0.0
59,0.385964912,0.0,0.0
60,0.421052632,0.0,0.0
61,0.456140351,0.0,0.0
62,0.350877193,0.007838317,8.166240345
63,0.245613633,0.017163884,9.353015124
64,0.221501646,0.030298377,9.31704092
65,0.280699583,0.017164069,9.340288272
66,0.31578608,0.017206616,9.33168215
67,0.20692302,0.046498244,9.218841163
68,0.173424757,0.044040372,9.241241603
69,0.13751935,0.044295719,9.250494198
70,0.193042265,0.062652715,9.167698799
71,0.0,0.13379748,9.0
72,0.114633292,0.063771115,9.156793228
73,0.080994362,0.08512258,9.073978758
74,0.042570332,0.114795175,9.01399691
75,0.0,0.206426715,9.0
76,0.0,0.291977887,9.0
77,0.105205623,0.984425124,9.433981583
78,0.175438596,0.992426908,8.423555514
79,0.140293138,0.983850088,9.398672679
80,0.0,0.948844476,9.0
81,0.094354888,0.97326928,9.334453995
82,0.040329778,0.958332646,9.080052537
83,0.073718594,0.962244653,9.218467681
84,0.245614035,1.0,0.0
85,0.210526316,0.992235755,8.464236729
86,0.280701754,1.0,0.0
87,0.0,0.367144382,9.0
88,0.0,0.433572191,9.0
89,0.385964912,0.007838392,8.164805375
90,0.49122807,0.0,0.0
91,0.526315789,0.0,0.0
92,0.421052632,0.007830779,8.165582851
93,0.456140351,0.007834609,8.177953371
94,0.350875192,0.017244297,9.326993922
95,0.25018973,0.030145413,9.314886453
96,0.240561719,0.048238493,9.20517827
97,0.284713725,0.029834094,9.313048727
98,0.320709796,0.029632908,9.312607858
99,0.225348987,0.072212114,9.139522994
100,0.161766771,0.073142854,9.134828476
101,0.197250661,0.085358039,9.112680326
102,0.221156802,0.099992141,9.085683417
103,0.047098563,0.171978893,9.005551188
104,0.129066195,0.103912035,9.072294028
105,0.090132497,0.135113146,9.028719043
106,0.049895162,0.257290309,9.00148353
107,0.051832092,0.333268136,9.000456631
108,0.135664682,0.975379617,9.342766333
109,0.175386758,0.983339198,9.372499822
110,0.172683897,0.97174758,9.301342853
111,0.0,0.91413456,9.0
112,0.040729307,0.92650514,9.034148258
113,0.10493658,0.958719867,9.2279217
114,0.076169963,0.943283,9.12839452
115,0.0,0.857225219,9.0
116,0.0,0.5,9.0
117,0.0,0.566427809,9.0
118,0.0,0.632855618,9.0
119,0.0,0.70705089,9.0
120,0.0,0.790303977,9.0
121,0.315789474,1.0,0.0
122,0.350877193,1.0,0.0
123,0.245614035,0.992090937,8.492745835
124,0.210483976,0.98291866,9.357662953
125,0.280701754,0.991998038,8.502445539
126,0.561403509,0.0,0.0
127,0.052744822,0.399538414,9.000312612
128,0.053046406,0.466140099,9.000231659
129,0.385964719,0.017244463,9.3218017
130,0.49122807,0.007860452,8.20392279
131,0.526315789,0.007905425,8.237790386
132,0.421051801,0.017227713,9.313928091
133,0.456136096,0.01723614,9.304720981
134,0.356587568,0.02903797,9.31427335
135,0.277264203,0.047226425,9.203639804
136,0.260305559,0.067396408,9.147269182
137,0.314537516,0.045895239,9.204553853
138,0.350063614,0.046088956,9.20045851
139,0.257898745,0.097761427,9.088405949
140,0.184938481,0.118790371,9.063070934
141,0.234175727,0.136443928,9.05456055
142,0.097515918,0.206508928,9.010210873
143,0.142788031,0.165844059,9.029022792
144,0.101300046,0.291819748,9.003188929
145,0.105138201,0.364826478,9.001626868
146,0.13928975,0.959541444,9.233715485
147,0.207936669,0.971156233,9.292713352
148,0.176953074,0.95802256,9.220010811
149,0.04391489,0.884871024,9.014163184
150,0.085415135,0.905361255,9.058545059
151,0.117521879,0.932446952,9.129550696
152,0.047761266,0.820790362,9.004651576
153,0.053149629,0.533069295,9.000241814
154,0.052941065,0.59977521,9.000335394
155,0.0525348,0.666332293,9.000541744
156,0.051700054,0.739150729,9.001375009
157,0.385964912,1.0,0.0
158,0.421052632,1.0,0.0
159,0.315789474,0.991963129,8.499223171
160,0.350877193,0.991986475,8.482004016
161,0.245583604,0.982600062,9.348515235
162,0.241710349,0.969939168,9.27962876
163,0.280684952,0.982395684,9.341906575
164,0.456140351,1.0,0.0
165,0.596491228,0.0,0.0
166,0.561403509,0.00795989,8.27058706
167,0.106276255,0.432009138,9.001132911
168,0.106516673,0.499359781,9.000983899
169,0.390997695,0.029966088,9.309352858
170,0.491219432,0.017292995,9.296703728
171,0.526303802,0.017391934,9.291265047
172,0.425758369,0.030078377,9.306512631
173,0.46117654,0.029808488,9.303082034
174,0.386062905,0.045881997,9.199927879
175,0.296605396,0.07740609,9.121303606
176,0.333314149,0.068173633,9.139672527
177,0.365942929,0.074297693,9.125527254
178,0.272756792,0.135097769,9.055864525
179,0.295571734,0.111031934,9.072904127
180,0.266069389,0.180107719,9.033918807
181,0.207813119,0.19357823,9.026325645
182,0.15246426,0.250233314,9.010343035
183,0.1576159,0.328620313,9.004647351
184,0.15974022,0.396792917,9.002814769
