x,y
0,0
0.035087719,0
0.070175439,0
0,0.007386141
0.105263158,0
0.140350877,0
0.175438596,0
0.035087719,0.007471007
0.070175439,0.007575544
0,0.01624951
0,1
0.035087719,1
0.210526316,0
0.105263158,0.007665717
0.140350877,0.007733466
0.175438596,0.007801216
0.03507048,0.016436216
0.070153879,0.016666197
0.021479211,0.027651593
0,0.034645759
0.070175439,1
0,0.99340242
0.035087719,0.99340242
0.245614035,0
0.210526316,0.007813109
0.280701754,0
0.315789474,0
0.105243619,0.016864577
0.140334832,0.017013626
0.175428805,0.017162675
0.050178329,0.030385715
0.076132395,0.029654663
0.029721875,0.045681862
0,0.061955203
0.105263158,1
0.140350877,1
0.070175439,0.993182894
0,0.985485323
0.035063921,0.985485323
0.350877193,0
0.245614035,0.007801766
0.210523779,0.017188839
0.280701754,0.00780185
0.315789474,0.007821189
0.179822373,0.029130776
0.110281724,0.028457957
0.143701646,0.028948687
0.108281134,0.04126499
0.069612146,0.049792577
0.037196569,0.073494302
0,0.089264647
0.105263158,0.992920511
0.175438596,1
0.140350877,0.992659131
0.07012749,0.985002367
0.029434213,0.977712325
0,0.971133888
0.065430173,0.974051128
0.210526316,1
0.385964912,0
0.421052632,0
0.456140351,0
0.350877193,0.007838317
0.245613633,0.017163884
0.221501646,0.030298377
0.280699583,0.017164069
0.31578608,0.017206616
0.20692302,0.046498244
0.173424757,0.044040372
0.13751935,0.044295719
0.193042265,0.062652715
0,0.13379748
0.114633292,0.063771115
0.080994362,0.08512258
0.042570332,0.114795175
0,0.206426715
0,0.291977887
0.105205623,0.984425124
0.175438596,0.992426908
0.140293138,0.983850088
0,0.948844476
0.094354888,0.97326928
0.040329778,0.958332646
0.073718594,0.962244653
0.245614035,1
0.210526316,0.992235755
0.280701754,1
0,0.367144382
0,0.433572191
0.385964912,0.007838392
0.49122807,0
0.526315789,0
0.421052632,0.007830779
0.456140351,0.007834609
0.350875192,0.017244297
0.25018973,0.030145413
0.240561719,0.048238493
0.284713725,0.029834094
0.320709796,0.029632908
0.225348987,0.072212114
0.161766771,0.073142854
0.197250661,0.085358039
0.221156802,0.099992141
0.047098563,0.171978893
0.129066195,0.103912035
0.090132497,0.135113146
0.049895162,0.257290309
0.051832092,0.333268136
0.135664682,0.975379617
0.175386758,0.983339198
0.172683897,0.97174758
0,0.91413456
0.040729307,0.92650514
0.10493658,0.958719867
0.076169963,0.943283
0,0.857225219
0,0.5
0,0.566427809
0,0.632855618
0,0.70705089
0,0.790303977
0.315789474,1
0.350877193,1
0.245614035,0.992090937
0.210483976,0.98291866
0.280701754,0.991998038
0.561403509,0
0.052744822,0.399538414
0.053046406,0.466140099
0.385964719,0.017244463
0.49122807,0.007860452
0.526315789,0.007905425
0.421051801,0.017227713
0.456136096,0.01723614
0.356587568,0.02903797
0.277264203,0.047226425
0.260305559,0.067396408
0.314537516,0.045895239
0.350063614,0.046088956
0.257898745,0.097761427
0.184938481,0.118790371
0.234175727,0.136443928
0.097515918,0.206508928
0.142788031,0.165844059
0.101300046,0.291819748
0.105138201,0.364826478
0.13928975,0.959541444
0.207936669,0.971156233
0.176953074,0.95802256
0.04391489,0.884871024
0.085415135,0.905361255
0.117521879,0.932446952
0.047761266,0.820790362
0.053149629,0.533069295
0.052941065,0.59977521
0.0525348,0.666332293
0.051700054,0.739150729
0.385964912,1
0.421052632,1
0.315789474,0.991963129
0.350877193,0.991986475
0.245583604,0.982600062
0.241710349,0.969939168
0.280684952,0.982395684
0.456140351,1
0.596491228,0
0.561403509,0.00795989
0.106276255,0.432009138
0.106516673,0.499359781
0.390997695,0.029966088
0.491219432,0.017292995
0.526303802,0.017391934
0.425758369,0.030078377
0.46117654,0.029808488
0.386062905,0.045881997
0.296605396,0.07740609
0.333314149,0.068173633
0.365942929,0.074297693
0.272756792,0.135097769
0.295571734,0.111031934
0.266069389,0.180107719
0.207813119,0.19357823
0.15246426,0.250233314
0.1576159,0.328620313
0.15974022,0.396792917
0.160162992,0.931012178
0.215860363,0.955861817
0.195175415,0.936768578
0.093543992,0.852501322
0.140226337,0.887133488
0.099216327,0.77496063
0.106198454,0.566546956
0.105433798,0.633384375
0.104020013,0.699607251
0.385964912,0.992045538
0.421052632,0.992101518
0.315786565,0.982318883
0.350885206,0.982370244
0.277599356,0.969215718
0.254618021,0.949803305
0.313362888,0.969553536
0.456140351,0.992146697
0.49122807,1
0.631578947,0
0.596491228,0.008013964
0.666666667,0
0.561390143,0.017511759
0.160230213,0.465085063
0.159854775,0.532955104
0.421765727,0.04619433
0.496196797,0.029584258
0.529885288,0.029866449
0.45689344,0.045493352
0.490300567,0.044369333
0.404275911,0.072820202
0.337011957,0.105635497
0.384595129,0.108463804
0.312989051,0.15638487
0.302765025,0.212749829
0.266398595,0.242538177
0.219718094,0.27670597
0.214302436,0.359919899
0.21476806,0.430212449
0.19144197,0.905887565
0.233056101,0.921638273
0.144838927,0.826665012
0.188659468,0.85606013
0.150879548,0.737674472
0.158925093,0.600422695
0.15741064,0.667427732
0.385977729,0.982500184
0.421065373,0.98262334
0.347970509,0.969046132
0.382333548,0.969246285
0.289276164,0.951859205
0.270553845,0.929463399
0.321452874,0.952741325
0.456151861,0.982722732
0.49122807,0.992196573
0.526315789,1
0.561403509,1
0.631578947,0.00806136
0.596478295,0.01763072
0.701754386,0
0.666666667,0.008101791
0.566413859,0.028208503
0.214123501,0.499098868
0.21283089,0.567022114
0.441229065,0.071537503
0.556801392,0.045796503
0.523973049,0.044150424
0.475930243,0.068096071
0.504799373,0.063152479
0.425283342,0.107492316
0.366166372,0.159760939
0.40751095,0.153206105
0.350354357,0.220167671
0.318246228,0.269898905
0.279301888,0.320835897
0.270151835,0.394962561
0.269098613,0.46537661
0.736842105,0
0.232329172,0.876594712
0.271704147,0.895083591
0.197682092,0.782697673
0.23154567,0.821222833
0.206927162,0.701573933
0.211468151,0.634994989
0.417732246,0.96955296
0.45248504,0.970526912
0.359794769,0.950037846
0.390270064,0.953032144
0.307240598,0.920279167
0.341626749,0.930540416
0.486405287,0.970125022
0.491236535,0.98283246
0.526315789,0.992227132
0.596491228,1
0.561403509,0.9922115
0.631578947,1
0.631567455,0.017734993
0.599304946,0.030633353
0.701754386,0.008136
0.666657024,0.017823941
0.589272556,0.047857509
0.267263797,0.533555735
0.265196188,0.601022353
0.572024561,0.066423449
0.463288986,0.103052248
0.53628989,0.073199188
0.499299876,0.094504448
0.450847688,0.148030363
0.399466348,0.215608468
0.435391949,0.197311427
0.33924081,0.314431185
0.379288974,0.276641354
0.328765767,0.368239227
0.324888031,0.433128194
0.322031798,0.500712643
0.771929825,0
0.736842105,0.008160008
0.807017544,0
0.276033978,0.841374797
0.311011189,0.881151197
0.26200229,0.75409173
0.26381757,0.67016355
0.424542313,0.953425528
0.457071141,0.956003162
0.410401955,0.932859217
0.377675129,0.921233119
0.345349452,0.899110089
0.494520963,0.953031253
0.51471129,0.96910016
0.52631737,0.98289969
0.596491228,0.992165855
0.561397598,0.9828653
0.666666667,1
0.631578947,0.992120534
0.701754386,1
0.634944343,0.03059523
0.626095929,0.046105545
0.701747283,0.0178992
0.669465208,0.03078678
0.605478864,0.075191595
0.319579397,0.567709012
0.316096924,0.632623252
0.567578278,0.099903545
0.488262502,0.142446658
0.527195522,0.12020714
0.473738312,0.197260118
0.440212753,0.252688601
0.382381633,0.338530307
0.423353279,0.30743972
0.381596146,0.401065076
0.377604368,0.468416532
0.373590554,0.535754255
0.842105263,0
0.771929825,0.008163937
0.736838956,0.017952017
0.807017544,0.008142621
0.877192982,0
0.322205286,0.824429649
0.30770687,0.77836477
0.352668628,0.84619543
0.324273391,0.706388095
0.477720851,0.934922566
0.445076688,0.92619346
0.416450653,0.898376644
0.385740715,0.871829896
0.50873509,0.928891389
0.52974138,0.950896921
0.556185871,0.969743363
0.596481924,0.982764882
0.591274593,0.97061785
0.666666667,0.992097619
0.63157142,0.982665175
0.736842105,1
0.701754386,0.992100997
0.771929825,1
0.661464338,0.046447538
0.641099295,0.06726333
0.704069143,0.030754561
0.696833392,0.046426978
0.636771119,0.101390648
0.597835174,0.121885862
0.371220144,0.600713638
0.36850052,0.655514537
0.554752946,0.151761371
0.516890139,0.177129749
0.500511175,0.246073218
0.475704751,0.306768339
0.44204482,0.363365278
0.43478566,0.435634478
0.42873043,0.504240515
0.422372623,0.572769754
0.842105263,0.008106274
0.771931801,0.01796066
0.739727794,0.031189326
0.807023834,0.017913765
0.912280702,0
0.877192982,0.008072776
0.947368421,0
0.360046952,0.779602803
0.391658173,0.821048948
0.393133659,0.705790205
0.485004415,0.904499283
0.456980084,0.878315186
0.425512558,0.842710862
0.5225664,0.899738097
0.543232365,0.928092579
0.562243774,0.953141719
0.626655959,0.969916788
0.598462704,0.954394728
0.807017544,1
0.666663817,0.982614761
0.662132643,0.969810234
0.736842105,0.992118323
0.701755642,0.982622194
0.771929825,0.992129958
0.676037885,0.074662159
0.731786145,0.04757433
0.71147094,0.067470496
0.668913493,0.120412646
0.631262005,0.148928296
0.594526552,0.172360519
0.422861858,0.641174636
0.561139902,0.225041637
0.534659011,0.294206195
0.507836764,0.351829086
0.472480222,0.599737379
0.492832474,0.410283631
0.48593493,0.475185321
0.478092442,0.53769722
0.842112869,0.017833802
0.775501771,0.030959868
0.767297835,0.046720325
0.810012624,0.03102498
0.912280702,0.008057904
0.877198374,0.017760108
0.98245614,0
0.947368421,0.008066154
0.426462073,0.772697684
0.451454709,0.700347616
0.49894738,0.858934998
0.471886102,0.819171838
0.538960077,0.859940279
0.56444301,0.893518462
0.579639947,0.927073416
0.635976928,0.95286201
0.614883784,0.930426879
0.842105263,1
0.807017544,0.992125171
0.69822407,0.969964569
0.669140099,0.954004672
0.73684448,0.982660311
0.733957815,0.970018356
0.771930426,0.982685907
0.706603932,0.100896605
0.7460578,0.075167422
0.69915442,0.146120175
0.664562289,0.169686598
0.628763935,0.214269918
0.480826082,0.65349495
0.510449056,0.621043051
0.595621511,0.285205672
0.568875815,0.33878015
0.548752632,0.390208585
0.520221822,0.574896509
0.541039983,0.447899856
0.540128589,0.515356225
1.01754386,0
0.844636145,0.03091405
0.802679059,0.046846832
0.782123844,0.068012066
0.835732897,0.048508287
0.912281758,0.017727389
0.880410642,0.030966609
0.98245614,0.008088206
0.947365506,0.017745539
0.877192982,1
0.490204125,0.747057113
0.497431024,0.695443023
0.53102671,0.804135082
0.577816885,0.843374753
0.609681884,0.893609495
0.650657455,0.924194748
0.842105263,0.992108186
0.80701579,0.982675376
0.705402664,0.954566317
0.687601158,0.932240172
0.768341009,0.970477668
0.740014192,0.954590787
0.802516771,0.970317399
0.737989052,0.121546732
0.776325429,0.101903295
0.729446126,0.169450285
0.692965628,0.211052156
0.658396491,0.279880258
0.530551305,0.663672262
0.551194211,0.616272111
0.584349366,0.423433411
0.629742435,0.331149041
0.60490676,0.381318751
0.568529556,0.56998765
0.594364347,0.47333848
0.592537865,0.529570792
0.641872553,0.47330358
1.052631579,0
1.01754386,0.008111005
0.86833771,0.050029299
0.81748781,0.076140066
0.851947867,0.070449889
0.916045308,0.030226743
0.90505119,0.047531934
0.982451542,0.017794052
0.950290807,0.030790405
1.087719298,0
0.877192982,0.992095034
0.912280702,1
0.54687201,0.720874544
0.591394056,0.766860955
0.628207108,0.83657296
0.652533859,0.880375155
0.688280815,0.896633747
0.842103412,0.982638008
0.837595332,0.970290902
0.724413077,0.923839288
0.775443879,0.955775688
0.759266465,0.933536756
0.809564033,0.955107825
0.766232066,0.151970692
0.80799004,0.1254919
0.748264583,0.210236611
0.723141936,0.284527498
0.682118633,0.326046443
0.582871063,0.667568476
0.603156149,0.615446854
0.637988,0.428862066
0.668574069,0.375463068
0.62198447,0.569038667
0.669889969,0.458820293
0.638102317,0.517705439
0.66907745,0.48891265
1.052631579,0.008121608
1.017540447,0.01784421
0.8862202,0.080239586
0.850034819,0.1024435
0.938687728,0.048767568
0.922207959,0.068970973
0.984642647,0.03018767
0.976185541,0.045152814
1.122807018,0
1.087719298,0.008112577
1.157894737,0
1.192982456,0
0.877195283,0.982609076
0.912280702,0.992117241
0.947368421,1
0.6129513,0.716532346
0.64931151,0.772453245
0.68569453,0.838154187
0.728026943,0.873640223
0.872698931,0.969969071
0.842842741,0.955355718
0.762032169,0.898422454
0.79516629,0.926576022
0.82765306,0.936222055
0.797574186,0.185961362
0.84244222,0.156444031
0.780227556,0.258457672
0.769439793,0.31197713
0.730512348,0.35428467
0.637480952,0.664258043
0.658244437,0.614422004
0.702137324,0.417257449
0.673583703,0.565919669
0.70656685,0.474007134
0.68895556,0.520726804
1.052631574,0.017867539
1.020283979,0.030833852
0.921277264,0.101820086
0.883647783,0.123169753
0.877257581,0.173123636
0.95746127,0.073634731
1.010065785,0.04804277
0.992488954,0.066754484
1.228070175,0
1.122807018,0.008089862
1.087723217,0.01784767
1.157894737,0.008059339
1.192982456,0.008009067
1.263157895,0
1.298245614,0
0.907135931,0.969353614
0.912289307,0.982657931
0.947368421,0.99217928
0.98245614,1
0.673866818,0.712852121
0.706081058,0.766161362
0.733859222,0.821810899
0.773792187,0.843461161
0.876725699,0.954184083
0.857879752,0.930844577
0.802858586,0.878877202
0.832623228,0.904326706
0.838148912,0.228474036
0.818803202,0.302264446
0.793739532,0.3541003
0.771010545,0.400788408
0.695904708,0.660790912
0.715719009,0.609640689
0.759764837,0.456186729
0.733962026,0.56007323
0.749450031,0.510392689
1.05604547,0.03092308
1.047362814,0.046924876
0.954518734,0.112103554
0.923607635,0.152801921
0.900699114,0.219071759
0.989693476,0.100239793
1.026375274,0.075688433
1.228070175,0.007936804
1.122814283,0.017797695
1.090718984,0.030962288
1.157905646,0.017730546
1.192997189,0.017619948
1.263157895,0.007870435
1.333333333,0
1.298245614,0.007840749
1.368421053,0
1.01754386,1
0.914927679,0.950387345
0.935175564,0.968494938
0.947378339,0.982794415
0.98245614,0.992226616
1.01754386,0.992211227
0.734561549,0.708987441
0.771574539,0.771030697
0.81731862,0.820363014
0.893464511,0.928032753
0.873948972,0.893654996
0.84791621,0.857973106
0.875930734,0.28484139
0.815676925,0.443584733
0.853271773,0.340745863
0.832256556,0.392731255
0.755522525,0.65458597
0.777090724,0.602051903
0.808471854,0.499654163
0.798973129,0.551707628
1.082886492,0.046788311
1.06264422,0.067543448
0.933344113,0.271580965
0.973812603,0.146880557
0.955905709,0.203608608
1.018580443,0.122800807
1.058347603,0.101279792
1.228085614,0.01746097
1.125580818,0.030990592
1.116533383,0.048493538
1.161594567,0.031397412
1.197665174,0.030814239
1.263168466,0.017314956
1.403508772,0
1.438596491,0
1.333333333,0.007856579
1.298247452,0.017249647
1.368421053,0.007905028
1.052631579,1
0.928509663,0.929897578
0.949843283,0.951090001
0.977469017,0.969691887
0.982458723,0.982898556
1.017535995,0.982864699
1.052631579,0.992144422
0.793168432,0.70104561
0.83253277,0.747447115
0.866210867,0.798053068
0.911877152,0.89162724
0.894911432,0.846364975
0.851960608,0.477247328
0.910963041,0.326778318
0.870283621,0.435066685
0.889552601,0.382095263
0.967451513,0.311972585
0.816595488,0.644999391
0.839258318,0.590438845
0.862401384,0.528978358
1.097265788,0.076064667
0.98599151,0.251442135
1.002802346,0.178394611
1.047066505,0.152827028
1.089979056,0.123062381
1.232675651,0.030041686
1.149987708,0.050420402
1.133606868,0.070849371
1.186045432,0.050706514
1.224443298,0.047928463
1.473684211,0
1.50877193,0
1.267519551,0.030059528
1.403508772,0.007966156
1.438596491,0.00802217
1.333326529,0.017284473
1.303251757,0.029708036
1.36840873,0.017391061
1.543859649,0
1.578947368,0
1.087719298,1
0.947883122,0.897997052
0.965825059,0.928507828
0.984884172,0.951933817
1.012776339,0.970256366
1.087719298,0.992079683
1.046497532,0.970668549
1.05261875,0.982717729
0.850637237,0.689475334
0.884079604,0.734478607
0.917701255,0.787414309
0.948776219,0.851651481
0.901462461,0.480871044
0.946207766,0.369407952
0.92433285,0.427841504
1.02361227,0.295408537
1.002444102,0.354153578
0.872714584,0.632993152
0.895932847,0.577660795
0.924745466,0.525889289
1.129744775,0.10508982
1.047436817,0.221357072
1.083045041,0.172100815
1.121673343,0.154214375
1.263276513,0.045941532
1.169941347,0.082228091
1.208063415,0.070826697
1.24193466,0.075016387
1.473684211,0.008061121
1.50877193,0.00807974
1.298472059,0.045269936
1.403495023,0.017525543
1.438584786,0.017648775
1.338815347,0.029386805
1.332793336,0.043878742
1.37276848,0.029424826
1.543859649,0.008086882
1.614035088,0
1.578947368,0.008093017
1.649122807,0
1.122807018,1
1.122807018,0.992065697
0.980801433,0.891677868
1.000111183,0.926726084
1.019355715,0.952714031
1.087710176,0.982575302
1.054003748,0.955946919
1.081450396,0.970298787
0.904690045,0.679757872
0.936374147,0.726413304
0.96675155,0.781541915
0.994414259,0.837668584
1.078064852,0.280589167
0.962355615,0.477960428
0.982482477,0.413580239
1.057201474,0.338177643
1.037668531,0.396323701
0.926380105,0.624881974
0.948957089,0.572433143
0.970252023,0.530751814
1.166603707,0.124015489
1.111475198,0.21873721
1.152801041,0.181653235
1.126192242,0.277943636
1.281364996,0.070962958
1.212652278,0.108339291
1.262192992,0.10744138
1.473676394,0.017734465
1.50876772,0.017775428
1.317545814,0.066853609
1.406598936,0.030168631
1.441917827,0.030550311
1.36735847,0.043921469
1.347757555,0.061677403
1.400492359,0.04552068
1.543857467,0.017791141
1.614035088,0.008095605
1.578946325,0.017804638
1.684210526,0
1.649122807,0.008089348
1.719298246,0
1.157894737,1
1.157894737,0.992078381
1.122804127,0.982544534
1.019549213,0.889166858
1.038141831,0.926818642
1.069050442,0.935103618
1.11648058,0.970829101
1.088439061,0.955180729
1.192982456,0.992067351
0.957284465,0.671847631
0.987412813,0.721234649
1.015787583,0.781559975
1.04068176,0.839223346
1.110228099,0.323582543
1.011292987,0.51094822
1.021882784,0.455789727
1.091189407,0.379006454
1.07073663,0.437132145
0.978695469,0.614651136
0.99758613,0.562839214
1.037910245,0.544974545
1.201646986,0.168106827
1.171566994,0.239111875
1.16176334,0.303831861
1.302974428,0.100635435
1.246279058,0.158922099
1.286683066,0.146294784
1.480014596,0.028536182
1.512007042,0.030968363
1.34242129,0.092783698
1.46988308,0.046527164
1.435930989,0.045388572
1.380340542,0.072292933
1.41536704,0.066550493
1.546629324,0.030750039
1.614035362,0.017810331
1.582403325,0.031031929
1.684210526,0.008083554
1.649124032,0.017796565
1.754385965,0
1.719298246,0.008090333
1.789473684,0
1.824561404,0
1.859649123,0
1.192982456,1
1.157892627,0.982572438
1.151388239,0.969185406
1.066565214,0.895770136
1.098879726,0.925695076
1.121003513,0.952708046
1.228070175,0.992029521
1.192976315,0.982548173
1.084527875,0.839719506
1.010100201,0.664347573
1.03884226,0.719962165
1.062962693,0.780083565
1.144779092,0.362093948
1.066760462,0.498793626
1.126522616,0.416728745
1.111232616,0.466123053
1.038408967,0.603276426
1.082980732,0.558455789
1.231990782,0.228402509
1.213527216,0.287671005
1.197743655,0.343946992
1.329070188,0.133900183
1.278865397,0.205335212
1.31573318,0.176986031
1.502924635,0.048229615
1.537583114,0.048127681
1.485242684,0.068839064
1.370379767,0.117693473
1.449064914,0.077451674
1.411210064,0.100673307
1.571960284,0.046976655
1.618313725,0.030428785
1.608330911,0.047548651
1.684212225,0.017783818
1.652814572,0.030433286
1.754385965,0.00807097
1.719304486,0.017798733
1.789473684,0.007963723
1.824561404,0.007764439
1.894736842,0
1.859649123,0.007468078
1.929824561,0
1.964912281,0
1.228070175,1
1.263157895,0.991982281
1.186962495,0.969749842
1.155889056,0.952549249
1.110517113,0.887456624
1.137044648,0.924064547
1.228060327,0.982464945
1.221212328,0.969767726
1.124659539,0.840519871
1.263146929,0.982361019
1.108133063,0.786060445
1.066568037,0.666165034
1.09069835,0.723898083
1.179777586,0.403140045
1.130501956,0.516539434
1.161806603,0.46187582
1.097327931,0.615234876
1.127625445,0.572034409
1.167554755,0.555636047
1.269334245,0.270164508
1.252009557,0.32509941
1.234599822,0.381832084
1.353353116,0.173738151
1.324051587,0.233823194
1.555884637,0.067414338
1.518856709,0.079121026
1.482111046,0.101619832
1.398704141,0.152415453
1.44064978,0.125111167
1.58894722,0.078585247
1.646572443,0.045759725
1.626092412,0.068432337
1.687308874,0.030454819
1.681252058,0.045873888
1.754406194,0.017756134
1.722955054,0.030453337
1.789514489,0.017520191
1.824622589,0.017081766
1.894736842,0.007102519
1.859723358,0.016429772
1.929824561,0.00681105
1.964912281,0.006665315
2,0
1.263157895,1
1.298245614,0.991939691
1.195909111,0.94985023
1.173923846,0.92115265
1.151455166,0.887088328
1.25810563,0.96949628
1.233478322,0.949615355
1.146210438,0.792372456
1.167708896,0.839587529
1.298235372,0.982267321
1.295035714,0.969161516
1.3333243,0.982187757
1.147459359,0.736297926
1.125058727,0.672961587
1.216881743,0.440132823
1.196095947,0.502232418
1.160177064,0.61409239
1.200336845,0.585078329
1.212851071,0.552320275
1.307760076,0.305781652
1.289088536,0.361189582
1.272097858,0.417483651
1.380554023,0.220534812
1.362761073,0.284221995
1.552563915,0.100102007
1.514541773,0.121711032
1.470890898,0.15368757
